year,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium
2014,Lincoln,.93811303,0,0,.19347481,87.54467,201.50937,221.60545,15.06447,2.1554518
2014,Rock,.73437262,0,0,5.8760641e-14,107.85651,241.3575,275.09982,40.645435,2.5776083
2014,Pipestone,.72942346,.069867902,0,.13156675,88.809853,156.63965,243.19865,16.143703,2.2246811
2014,Lac qui Parle,.5219655,.017109176,8.1120816e-06,.14783584,95.563942,180.48543,142.71748,17.984888,1.1684226
2014,Red Lake,1.5888512,.10073082,.039587613,.89363873,78.612755,123.7924,129.54834,10.841484,1.3715661
2014,Yellow Medicine,.73608017,.069983929,.046894614,.053633749,102.13494,152.80827,117.54642,21.395094,1.0894892
2014,Otter Tail,.54134768,.03985719,.002552401,.10683825,99.041069,159.43419,194.25594,14.57081,1.628582
2014,Roseau,.72439384,.011975574,.011975574,.11594012,96.008064,222.33963,224.99487,15.590942,2.0883663
2014,Stevens,.87153912,.11286046,0,.084141009,101.37463,140.27017,141.44525,18.529232,1.3663479
2014,Becker,.68713516,.04140301,.10925473,.17040221,104.16108,188.51761,144.58102,17.682562,1.1414044
2014,Grant,.51162916,0,0,.18786408,86.775726,189.99602,214.32869,18.480742,1.9052391
2014,Swift,.94808906,.10902555,.10902555,.14457802,89.608765,131.29483,117.43527,22.286108,1.0642651
2014,Murray,.86141258,.15259224,0,.052889563,101.66241,154.3284,224.57764,25.378727,2.1937566
2014,Lyon,.96747977,.16514686,0,.10314594,102.07859,130.89572,139.97914,12.616176,1.2487049
2014,Nobles,.3664614,.058096319,0,.06632866,88.428307,140.0209,228.31436,12.424265,2.2201331
2014,Mahnomen,.50748426,.047901716,.11069959,.26535013,54.655399,100.14024,105.41026,12.527681,.88561022
2014,Chippewa,.7271589,.084474474,.049023673,.12834348,88.254951,113.20399,119.85265,13.122483,1.0964768
2014,Pope,.54071939,.074592479,5.3081760e-07,.07591249,105.24128,165.39117,176.87479,17.821625,1.5033709
2014,Douglas,1.0046021,.1344023,.010267626,.10999504,110.80444,169.0584,144.59427,13.470632,1.2218937
2014,Redwood,.67175764,.0030676336,5.5245988e-37,.082514063,97.524818,151.59435,137.52005,19.606455,1.2724007
2014,Clearwater,.5278874,0,.055134721,.15395166,93.20565,199.22034,166.47655,18.006128,1.4316857
2014,Beltrami,.61563766,.12844019,.042230301,.12098314,98.331818,193.54745,200.65683,17.098516,1.619625
2014,Renville,.83604097,.11214487,2.2221454e-07,.12525685,97.896706,176.42215,198.44975,12.412304,1.7085571
2014,Jackson,.88672173,.17294072,0,.13314477,100.51467,135.59149,238.27574,15.65177,2.0989506
2014,Cottonwood,.54348737,.03421938,0,.092007428,95.810356,117.51856,148.7191,11.347468,1.3585767
2014,Kandiyohi,.49853799,.085942641,.072201625,.047307931,111.10857,175.29356,166.06143,9.21807,1.4652804
2014,Hubbard,.49835253,.063441657,.067339055,.018747209,115.15552,186.56354,161.76724,36.03154,1.352278
2014,Todd,.36502096,.0026611194,.0028055094,.10978419,83.665581,159.04063,163.25497,15.040587,1.5531271
2014,Wadena,.58463383,.03196834,.023144528,.14035372,91.296669,138.67012,138.90854,10.405155,1.2096285
2014,Stearns,.68429822,.15654433,.04332833,.052410506,128.14671,188.99442,189.02301,11.030889,1.4366536
2014,Brown,.94651777,.14717846,.043918196,.10163707,103.36901,142.46637,127.98373,7.8094215,1.1191471
2014,Lake of the Woods,.40009415,0,0,.093134783,93.346397,260.10754,260.10754,25.627829,2.348424
2014,Watonwan,.50340533,.16123703,.01418024,.071194507,81.933899,89.301849,104.85794,6.3102565,1.1118355
2014,Cass,.7832045,.2686685,.25029165,.1461364,104.56258,219.01851,217.38251,23.435719,1.6973522
2014,Martin,.85842299,.080547854,0,.11400323,98.191879,162.12486,210.71295,12.026612,1.9514862
2014,Meeker,.53120029,.09809269,.0073244348,.11303939,107.66705,172.56346,123.76949,13.534629,1.0027015
2014,Nicollet,.7181288,.32304367,.083520435,.021046834,136.89236,166.50264,165.65559,15.625111,1.2131108
2014,Morrison,.63622755,.05874683,.048868153,.076230168,105.19693,159.71448,162.98744,18.123573,1.4405603
2014,Sibley,.67258561,.00073978701,6.9399483e-23,.13401107,93.335754,206.60191,218.8692,8.2877283,1.8759252
2014,McLeod,.76532751,.15078372,.052587532,.089968324,115.87772,185.77921,232.6286,10.003712,1.8734199
2014,Itasca,.63263333,.10841866,.10530844,.23503971,95.24958,169.88788,161.83707,15.124947,1.3217038
2014,Blue Earth,.89979202,.27231994,.037691001,.18082389,116.81481,169.84148,164.72809,10.687814,1.2171892
2014,Crow Wing,.59629446,.17995712,.0082443878,.070199765,123.56911,160.39635,156.91492,15.768521,1.1664453
2014,Koochiching,.50177139,.034147069,0,.13567713,93.701752,328.09299,383.69342,13.990829,3.3298612
2014,Benton,.70265412,.14158411,.030293329,.041234754,129.43433,200.7744,228.713,13.033881,1.7235198
2014,Faribault,.68465596,.14398655,.020875774,.11279085,103.37242,145.85356,210.91867,19.006001,1.8865423
2014,Wright,.50641692,.11690513,.033289332,.045046162,150.93974,219.59822,272.83463,11.518312,1.7761396
2014,Sherburne,.54700089,.16688119,.02054581,.024134384,148.50034,210.8476,242.17302,11.861734,1.5933236
2014,Carver,.55001152,.30540365,.097588584,.020636145,195.9814,244.53317,268.25269,10.199839,1.4073225
2014,Le Sueur,.77953404,.090936303,.079125762,.10692829,119.47179,207.43991,203.91246,9.3689966,1.5678389
2014,Mille Lacs,.54544199,.23642035,.041596595,.044839498,121.3569,155.98134,164.73598,15.54049,1.3651563
2014,Scott,.56699318,.18699709,.05207238,.014435405,191.01823,251.121,278.93622,9.9959192,1.5090972
2014,Aitkin,.97387409,.28936771,.19714478,.13811174,115.86817,167.09505,173.39569,17.642954,1.3654681
2014,Waseca,.60064846,.078366227,1.1652436e-14,.054154154,104.3201,145.10188,201.79231,10.965281,1.7935658
2014,Hennepin,.53181559,.37701541,.15113276,.020018391,227.89554,263.2066,281.95874,8.6207542,1.2913713
2014,Freeborn,.52535486,.14126481,.049813394,.031397678,119.89572,182.07771,202.4404,13.780965,1.6872159
2014,Isanti,.38896462,.19241469,.054251473,.031113615,144.3208,185.53587,179.0849,13.223385,1.1910751
2014,Rice,.46285143,.10985297,.018314894,.039035954,129.96117,172.83322,155.04437,7.7376595,1.1153082
2014,Kanabec,.96367455,.039267562,2.3157703e-07,.55376023,85.277115,167.90627,160.83562,15.71615,1.3268961
2014,Anoka,.55403668,.25310594,.11635535,.034025114,186.88736,244.85503,250.56847,10.178216,1.3773251
2014,Steele,.79871124,.17711809,.084183834,.068700984,122.14206,189.91873,201.93398,7.2386589,1.6387875
2014,Dakota,.58748788,.29372433,.1331377,.020489821,207.77759,262.8194,277.50967,8.4182472,1.4344357
2014,Ramsey,.45934701,.27214146,.12994209,.039297726,201.22707,253.88579,270.1785,8.1213646,1.3875312
2014,Pine,.41763917,.021424949,.050329093,.074429668,113.84671,137.53752,145.30441,18.737127,1.1385161
2014,Chisago,.50680029,.14128321,.050913256,.040611856,141.63832,205.37033,211.97052,11.874584,1.4449806
2014,St. Louis,.58370894,.18320854,.03285329,.13985509,111.03716,159.6684,172.05882,9.6594658,1.3118304
2014,Dodge,.76701546,.097266644,.0002996212,.071616113,121.65401,202.65332,184.08188,11.663922,1.4367172
2014,Goodhue,.55892354,.093817502,1.1770170e-11,.057324059,124.88609,160.85593,239.61823,10.208864,1.7720128
2014,Mower,.50571817,.13279255,1.1943199e-09,.066360861,115.98208,175.3436,240.34857,10.009897,1.9058299
2014,Washington,.52967668,.2557188,.10824432,.027405037,199.3515,265.00269,268.54001,10.975113,1.3891385
2014,Carlton,.6644454,.173126,.1158739,.20004371,98.865112,129.47829,116.81297,12.495418,.90066808
2014,Olmsted,.79712319,.28748003,.19351982,.10234515,161.78807,227.44012,227.48038,8.1119385,1.4088483
2014,Wabasha,.72715622,.067089073,1.8151680e-23,.073292233,119.8711,184.06404,293.06885,14.1372,2.2681749
2014,Fillmore,.94724053,.17103581,0,.38794312,95.187996,171.42767,243.17328,20.656742,2.0762153
2014,Winona,.81502283,.20596308,.060872663,.054779522,118.69258,176.39059,190.45503,11.283827,1.5470804
2014,Lake,.38899162,0,0,.11931174,87.135742,248.91095,185.76535,9.2230024,1.4751569
2014,Houston,.836963,.099134587,0,.089339964,105.26475,161.91591,249.10446,11.686271,2.1279299
2014,Cook,.98188901,.11505498,0,.14314832,123.84949,213.04135,385.30908,32.538261,2.6629653
2013,Marshall,.59678108,.056171276,0,.083125465,108.58109,160.13086,245.93619,51.686611,2.0680852
2013,Kittson,.59378874,0,0,.092592776,93.209061,227.1264,316.77383,28.402573,2.9817958
2013,Polk,.69382524,.088741392,.028736901,.13579763,103.16509,161.1049,139.57458,16.931854,1.1521466
2013,Traverse,1.0455846,0,0,.21848738,104.95422,225.24074,203.87093,56.048618,1.8011022
2013,Norman,.86765468,.23958302,.23958302,.16390787,98.044792,113.42443,114.88172,27.898525,1.0205456
2013,Clay,.65328503,.16109948,.016283436,.057525262,124.23691,174.7791,137.22563,14.603787,1.0333545
2013,Wilkin,.76761901,.010490702,0,.050127853,107.00098,202.26041,235.54515,19.159521,2.0398962
2013,Big Stone,.5949595,1.1496626e-14,1.1496626e-14,.08471553,90.035278,132.5761,127.50494,15.97442,1.1584533
2013,Pennington,.76627982,.11668392,0,.021392418,111.78535,130.95561,236.0929,17.090155,2.061337
2013,Lincoln,.73048538,0,0,.00003617895,105.18498,205.62927,220.35625,70.194138,2.1245112
2013,Rock,.85060126,0,0,.0325475,105.68061,225.515,336.57703,43.959618,3.1745129
2013,Pipestone,.64822102,.069867902,0,5.7123558e-16,109.64471,155.5419,251.44061,56.934288,2.3095915
2013,Lac qui Parle,.44808358,3.1838642e-06,0,.079324625,93.650391,120.7253,123.73044,18.907043,1.1074522
2013,Red Lake,1.495304,.10073082,0,.7319991,82.255585,124.47134,192.38875,17.131367,2.0618424
2013,Yellow Medicine,.80811101,.047539908,.046115506,.05146803,102.37508,117.7264,113.97469,22.706915,1.0805748
2013,Otter Tail,.49899811,.039746646,.00009576157,.048257153,109.25779,159.55179,193.66991,20.65387,1.6251732
2013,Roseau,.71366781,0,0,.099821977,94.984169,301.38266,414.16977,15.633017,3.9557924
2013,Stevens,.80784398,.11286046,0,.034499526,105.89486,146.44109,139.00606,20.591028,1.3101041
2013,Becker,.64036125,.023335047,.075674817,.11605725,110.44774,189.5098,141.58444,20.716515,1.1345842
2013,Grant,.51258922,0,0,.12240145,94.598648,201.50705,239.44838,19.543701,2.0924339
2013,Swift,.88753015,.10902555,.10902555,.10515305,93.014717,129.52679,116.48421,23.082876,1.0637608
2013,Murray,.83211714,.15259224,0,6.5655146e-15,106.92671,163.39966,236.01489,72.843689,2.2955332
2013,Lyon,.86803907,.14915739,0,.059431802,108.64061,132.36723,150.42291,15.033091,1.3133886
2013,Nobles,.33217594,.047044352,0,.041837107,87.76416,124.98724,331.43863,14.867265,3.3628008
2013,Mahnomen,.36073661,.036196534,.0845723,.14218071,68.279686,112.29554,112.22736,15.750182,.88933784
2013,Chippewa,.65041602,.084474474,.014090008,.085184999,87.612968,90.83448,105.41986,13.615007,1.0109102
2013,Pope,.61860561,.12125207,5.3081760e-07,.07591249,100.47206,153.94382,168.06342,18.305519,1.4682705
2013,Douglas,1.0081204,.13698055,0,.12049124,108.37953,168.30861,202.46678,14.834942,1.6959232
2013,Redwood,.6653651,.044744138,0,.022352288,104.13258,117.71736,213.45758,44.327938,2.0129821
2013,Clearwater,.3773348,0,.010550781,.11533539,86.747688,193.92703,185.2674,19.71352,1.6406089
