year,county,Price,Capacity,ShareCCC,ShareHighRated,ShareFCC,SharePublic
2014,Koochiching County,95.59999999999999,11.1,0,.107,.893,.107
2014,Stevens County,95.5,11.3,.024,.048,.9290000000000001,.048
2014,Hubbard County,108.3,10.3,.033,.1,.95,.017
2014,Big Stone County,87.8,10.2,0,.105,.895,.105
2014,Cook County,118.8,11.4,.077,.077,.846,.077
2014,Norman County,96,13.9,.095,.095,.857,.048
2014,Mahnomen County,64.8,17.1,.045,.591,.591,.364
2014,Grant County,82.3,11.3,0,.211,.789,.211
2014,Lac qui Parle County,87.5,11.3,.048,.143,.8100000000000001,.143
2014,Watonwan County,81.8,14.7,.107,.143,.786,.107
2014,Lake of the Woods County,87.7,10.8,0,.111,.889,.111
2014,Anoka County,151.7,16.9,.106,.091,.855,.039
2014,Hennepin County,181.1,26.4,.256,.143,.695,.049
2014,Scott County,159.3,14,.052,.034,.9290000000000001,.018
2014,Ramsey County,168.9,22.1,.197,.144,.764,.039
2014,Wright County,134,12.7,.037,.059,.912,.051
2014,Sherburne County,132.1,13.8,.055,.033,.916,.029
2014,Washington County,160.1,17.8,.1,.08,.862,.038
2014,Dakota County,166.6,18.5,.119,.08,.856,.025
2014,Isanti County,124.6,17.5,.137,.157,.784,.078
2014,Chisago County,130.5,13.7,.057,.074,.885,.057
2014,Carver County,158.5,19.7,.115,.08,.84,.045
2015,Freeborn County,104.9,12.2,.039,.053,.921,.039
2015,Washington County,162.7,17,.106,.098,.849,.045
2015,Kandiyohi County,101,11.1,.038,.138,.9,.062
2015,Olmsted County,141.7,17,.073,.104,.892,.035
2015,Winona County,109.5,12.7,.055,.069,.903,.041
2015,Ramsey County,173,22.3,.224,.175,.726,.05
2015,Wadena County,91.3,11.4,.047,.186,.814,.14
2015,Dakota County,169.7,18.2,.124,.092,.847,.029
2015,Anoka County,153.4,16.4,.113,.121,.844,.043
2015,Polk County,101.7,13.3,.05,.126,.866,.084
2015,Wabasha County,115.8,11,.028,.113,.915,.056
2015,Todd County,80.3,12.6,.019,.204,.815,.167
2015,Nobles County,85.8,12.8,.04,.14,.84,.12
2015,Hennepin County,185.6,26.3,.272,.169,.669,.059
2015,Pennington County,105.1,11.2,.03,.03,.94,.03
2015,Lyon County,98.40000000000001,12.8,.046,.077,.885,.069
2015,Mower County,102.8,12,.02,.071,.909,.071
2015,Scott County,162.3,13.2,.053,.053,.9290000000000001,.018
2015,Renville County,98.09999999999999,11.7,.059,.078,.863,.078
2015,Dodge County,122.5,11.6,.024,.035,.941,.035
2015,Stearns County,109.7,13.1,.056,.084,.904,.04
2015,Sibley County,101,10.5,0,.121,.879,.121
2015,Goodhue County,120.3,11.8,.048,.087,.889,.063
2015,Wright County,133.8,12.5,.036,.067,.912,.052
2015,Fillmore County,95.5,13.7,.055,.109,.836,.109
2015,Le Sueur County,115.1,11.1,.011,.108,.914,.075
2015,Rice County,125.6,12,.045,.064,.917,.038
2015,Mille Lacs County,109,15.7,.089,.107,.839,.071
2015,Houston County,103.4,10.2,.014,.07,.915,.07
2015,Beltrami County,104.2,12.7,.045,.09,.872,.083
2015,Sherburne County,130.6,14,.058,.039,.911,.031
2015,Martin County,91.8,11.4,.026,.079,.895,.079
2015,Wilkin County,90.2,10.5,0,.115,.885,.115
2015,Otter Tail County,101.1,10.6,.019,.093,.907,.075
2015,Saint Louis County,114.9,16.9,.114,.122,.787,.099
2015,McLeod County,110.5,13.5,.05,.084,.891,.059
2015,Clay County,119.8,13.3,.059,.037,.92,.021
2015,Morrison County,98.5,11,.034,.186,.89,.076
2015,Chippewa County,96.5,11.7,.026,.128,.949,.026
2015,Red Lake County,70.5,21.2,.045,.273,.727,.227
2015,Murray County,92.40000000000001,12.4,.045,.045,.909,.045
2015,Carver County,163.2,19.8,.141,.09,.819,.04
2015,Crow Wing County,116.6,14.4,.097,.097,.848,.055
2015,Stevens County,87,11.3,.026,.105,.895,.079
2015,Blue Earth County,119.1,17.2,.106,.072,.861,.033
2015,Steele County,107.8,13.1,.032,.052,.9290000000000001,.039
2015,Brown County,96.40000000000001,13.4,.039,.107,.883,.078
2015,Chisago County,131.1,13.4,.062,.08,.876,.062
2015,Benton County,113.1,11.2,.025,.025,.955,.019
2015,Cass County,95.40000000000001,12,.029,.229,.8,.171
2015,Watonwan County,78.09999999999999,15.1,.115,.192,.769,.115
2015,Douglas County,103.7,11.9,.021,.069,.9310000000000001,.049
2015,Cook County,115,11.2,.071,.071,.857,.071
2015,Meeker County,92.09999999999999,14.2,.04,.14,.82,.14
2015,Nicollet County,119.2,16.9,.116,.105,.837,.047
2015,Itasca County,96.40000000000001,15.8,.052,.292,.781,.167
2015,Cottonwood County,92.2,10.5,.022,.087,.891,.087
2015,Roseau County,86.90000000000001,9.9,0,.069,.9310000000000001,.069
2015,Clearwater County,88.40000000000001,11.4,0,.25,.857,.143
2015,Pope County,102.2,11.2,.031,.031,.9379999999999999,.031
2015,Norman County,89.5,14.4,.05,.15,.8,.15
2015,Carlton County,105.1,17.1,.099,.225,.789,.113
2015,Pipestone County,91.09999999999999,11.2,.024,.098,.878,.098
2015,Rock County,94,10.5,0,.023,.977,.023
2015,Redwood County,92,10.7,0,.067,.9330000000000001,.067
2015,Hubbard County,105.9,10.8,.032,.21,.919,.048
2015,Kanabec County,101.5,22.5,.029,.086,.886,.086
2015,Waseca County,100.9,11.5,.038,.058,.904,.058
2015,Koochiching County,89.8,11.6,0,.167,.833,.167
2015,Lake County,108.6,9.5,0,.067,.9330000000000001,.067
2015,Yellow Medicine County,90.8,10.7,.044,.111,.889,.067
2015,Lac qui Parle County,90.90000000000001,10.6,.043,.13,.826,.13
2015,Grant County,85.09999999999999,11.1,0,.25,.8,.2
2015,Pine County,108.1,11.3,.019,.222,.87,.111
2015,Lincoln County,85,10.9,0,.125,.875,.125
2015,Marshall County,92.09999999999999,10.9,.028,.111,.861,.111
2015,Aitkin County,100.2,11,0,.156,.875,.125
2015,Swift County,88.2,11.6,.028,.111,.889,.083
2015,Becker County,107.7,11.9,.035,.217,.878,.087
2015,Isanti County,127.1,17.1,.135,.173,.788,.077
2015,Mahnomen County,65.8,15.5,0,.636,.636,.364
2015,Kittson County,91.5,9.5,0,.125,.875,.125
2015,Lake of the Woods County,89.5,10.5,0,.2,.9,.1
2015,Big Stone County,85.8,10.4,0,.105,.895,.105
2015,Faribault County,94.8,12.6,.105,.158,.816,.079
2015,Traverse County,85.59999999999999,11.3,0,.167,.833,.167
2015,Jackson County,87.7,12.3,.054,.108,.838,.108
2016,Freeborn County,116.2,12.9,.048,.111,.889,.063
2016,Washington County,163.9,18.1,.115,.17,.8110000000000001,.074
2016,Kandiyohi County,113.8,12.5,.044,.168,.885,.071
2016,Olmsted County,142.3,15.8,.082,.121,.877,.041
2016,Winona County,115.9,12.9,.061,.091,.879,.061
2016,Ramsey County,174,23.2,.236,.265,.673,.091
2016,Wadena County,104,11.4,.049,.195,.8050000000000001,.146
2016,Dakota County,175.5,20.6,.149,.129,.8070000000000001,.044
2016,Anoka County,156.5,17.3,.123,.158,.818,.058
2016,Polk County,112.9,13.5,.067,.173,.837,.096
2016,Wabasha County,119,11.4,.032,.159,.905,.063
2016,Todd County,101,12.1,.018,.211,.825,.158
2016,Nobles County,104.3,14,.04,.2,.8,.16
2016,Hennepin County,191.9,28.9,.295,.213,.627,.078
2016,Pennington County,111,11.2,.032,.065,.919,.048
2016,Mower County,110.9,13,.024,.12,.88,.096
2016,Scott County,168.1,14.5,.067,.08,.9,.032
2016,Dodge County,125.2,12.1,.027,.041,.9320000000000001,.041
2016,Stearns County,120.4,13.6,.063,.098,.891,.046
2016,Goodhue County,124.8,12.5,.054,.126,.874,.072
2016,Wright County,143.1,13.6,.041,.103,.894,.065
2016,Lyon County,114.9,13.1,.058,.125,.858,.083
2016,Fillmore County,113.4,15.2,.08,.12,.8,.12
2016,Le Sueur County,123.4,11.4,.012,.116,.907,.081
2016,Rice County,133.9,11.9,.043,.058,.92,.036
2016,Mille Lacs County,117.6,17.5,.098,.137,.8040000000000001,.098
2016,Houston County,112.3,11.2,.029,.129,.886,.086
2016,Beltrami County,111.7,13.1,.033,.124,.876,.091
2016,Sherburne County,141.2,14.8,.069,.065,.892,.039
2016,Martin County,109.7,12.4,.028,.083,.889,.083
2016,Otter Tail County,111,11.7,.034,.124,.883,.083
2016,Saint Louis County,121.4,17,.127,.185,.753,.12
2016,McLeod County,119.2,13.3,.055,.109,.864,.082
2016,Clay County,123.6,13.1,.062,.107,.893,.045
2016,Morrison County,107.7,11.1,.027,.198,.892,.081
2016,Chippewa County,106.6,12,.026,.132,.895,.079
2016,Red Lake County,92.90000000000001,20.8,.043,.261,.739,.217
2016,Murray County,112.4,13.3,.045,.091,.864,.091
2016,Carver County,174,22.4,.168,.121,.786,.046
2016,Stevens County,103.5,12.1,.03,.182,.848,.121
2016,Blue Earth County,125,18.6,.123,.103,.8129999999999999,.065
2016,Steele County,118.2,13.3,.037,.06,.918,.045
2016,Brown County,111.4,14,.04,.172,.879,.081
2016,Benton County,121.4,12.5,.034,.048,.946,.02
2016,Crow Wing County,120.1,14.9,.117,.117,.817,.067
2016,Cass County,96.2,12.7,.017,.383,.767,.217
2016,Watonwan County,124.5,14.5,.13,.217,.783,.087
2016,Douglas County,114.3,12.4,.03,.075,.917,.053
2016,Cook County,108.3,10.7,.083,.333,.833,.083
2016,Meeker County,103.2,15.2,.049,.146,.829,.122
2016,Nicollet County,127.2,17.1,.134,.085,.817,.049
2016,Cottonwood County,107.2,10.8,.024,.122,.878,.098
2016,Roseau County,104.8,10.1,0,.101,.9280000000000001,.072
2016,Clearwater County,102.5,11,0,.25,.875,.125
2016,Itasca County,110.7,13.2,.079,.348,.764,.157
2016,Norman County,102.2,14.8,.056,.167,.778,.167
2016,Chisago County,139.4,14.1,.073,.094,.854,.073
