year,MSA,ED_region,county,itp_avg_price,underSA_cap,pCCC,FCC,public,HR,pq12
2013,0,Southwest,Pipestone County,100.18941,10.562772,.025641026,.94871795,.025641026,.025641026,.97435898
2013,0,UpperMNvalley,Lac qui Parle County,80.292549,11.209091,0,.81818181,.18181819,.18181819,.81818181
2013,0,Westcentral,Grant County,90.778595,10.615714,0,.85000002,.15000001,.15000001,.85000002
2013,0,UpperMNvalley,Lac Qui Parle County,94.649216,9.4899998,0,1,0,0,1
2013,0,UpperMNvalley,Big Stone County,89.361305,9.8466663,0,.89999998,.1,.1,.89999998
2013,0,Arrowhead,Cook County,125.10838,10.665289,.11111111,.8888889,0,0,1
2013,1,Metro,Carver County,166.58238,17.091375,.098591551,.89671361,.0046948357,.037558686,.96244133
2013,1,Metro,Ramsey County,167.8661,20.64864,.17912371,.80798972,.012886598,.083762884,.91623712
2013,1,Central,Wright County,136.32832,11.862207,.031890661,.94988608,.018223235,.020501139,.97949886
2013,1,Central,Sherburne County,130.96074,12.937238,.046263345,.94661921,.0071174377,.010676157,.98932385
2013,1,Metro,Hennepin County,186.07077,24.456629,.22749476,.76482904,.0076762037,.078855544,.92114443
2013,1,Metro,Dakota County,168.34639,17.064137,.10762332,.88789237,.0044843052,.044843048,.95515692
2013,1,Metro,Anoka County,150.59642,15.364774,.096816979,.89920425,.00397878,.035809018,.96419096
2013,1,EastCentral,Isanti County,129.77612,17.063366,.13725491,.86274511,0,.019607844,.98039216
2013,1,EastCentral,Chisago County,133.78729,13.112633,.060344826,.93965518,0,.017241379,.98275864
2013,1,Metro,Washington County,160.754,16.440504,.085828342,.90618765,.0079840319,.047904193,.95209581
2013,1,Metro,Scott County,162.55783,13.17243,.050314464,.94339621,.006289308,.014675053,.98532492
2014,0,Southern,Steele County,105.98409,13.204404,.033112582,.92715234,.039735101,.052980132,.94701988
2014,0,Southcentral,Martin County,90.042953,11.650384,.01369863,.9041096,.08219178,.08219178,.91780823
2014,0,Northwest,Red Lake County,69.429337,20.235966,.043478262,.73913044,.2173913,.26086956,.73913044
2014,0,NorthCentral,Todd County,79.741898,11.433421,0,.85185188,.14814815,.14814815,.85185188
2014,0,Southwest,Pipestone County,92.157394,11.154832,.024390243,.87804878,.097560972,.097560972,.902439
2014,0,UpperMNvalley,Swift County,89.593979,11.792655,.023255814,.88372093,.093023255,.11627907,.88372093
2014,0,Southern,Mower County,104.28017,12.980663,.038834952,.89320385,.067961164,.067961164,.93203884
2014,0,Headwaters,Beltrami County,106.80544,14.025961,.062937066,.86713284,.069930069,.090909094,.90909094
2014,0,Central,Stearns County,110.47977,12.929732,.057142857,.9066667,.036190476,.057142857,.94285715
2014,0,Arrowhead,Saint Louis County,110.80615,17.074427,.10497238,.79558009,.099447511,.12430939,.87569058
2014,0,Southern,Wabasha County,114.4016,11.108627,.027777778,.91666669,.055555556,.055555556,.94444442
2014,0,Southcentral,Waseca County,99.119331,11.526731,.034482758,.91379309,.05172414,.05172414,.94827586
2014,0,Westcentral,Clay County,116.71891,13.122892,.055,.92500001,.02,.029999999,.97000003
2014,0,Southwestcentral,Kandiyohi County,102.0844,11.209023,.031007752,.9147287,.054263566,.10852713,.89147288
2014,0,NorthCentral,Crow Wing County,114.65224,14.285876,.096153848,.8525641,.051282052,.070512824,.92948717
2014,0,NorthCentral,Morrison County,96.859894,11.092723,.031496063,.89763778,.070866145,.11811024,.88188976
2014,0,Southwest,Jackson County,90.070129,12.72562,.048780486,.85365856,.097560972,.097560972,.902439
2014,0,Southern,Rice County,123.12109,11.971834,.03846154,.92948717,.032051284,.051282052,.94871795
2014,0,Southwest,Lyon County,101.35579,12.758654,.043478262,.90579712,.050724637,.050724637,.94927537
2014,0,Southwest,Lincoln County,89.792244,10.807143,0,.89285713,.10714286,.10714286,.89285713
2014,0,Southwest,Rock County,99.03569,9.8909092,0,1,0,0,1
2014,0,Westcentral,Becker County,105.66149,11.391033,.024390243,.88617885,.089430891,.24390244,.75609756
2014,0,Southeast,Goodhue County,117.50246,12.164196,.047619049,.8888889,.063492067,.063492067,.93650794
2014,0,Southern,Olmsted County,138.77054,16.638178,.061876249,.90219563,.035928145,.093812376,.90618765
2014,0,Southcentral,Nicollet County,118.7562,16.300337,.10843374,.87951809,.012048192,.060240965,.93975902
2014,0,Southcentral,Faribault County,89.575508,13.329599,.088235296,.79411763,.11764706,.14705883,.85294116
2014,0,Southwestcentral,McLeod County,107.40388,13.029306,.040322579,.90322578,.056451611,.064516127,.93548387
2014,0,Southcentral,Blue Earth County,117.63422,17.308868,.095744684,.87234044,.031914894,.063829787,.93617022
2014,0,Southcentral,Le Sueur County,113.85653,11.318048,.0099999998,.92000002,.07,.079999998,.92000002
2014,0,NorthCentral,Cass County,97.145622,17.547018,.027777778,.80555558,.16666667,.19444445,.80555558
2014,0,Southeast,Fillmore County,92.149048,19.71286,.054545455,.81818181,.12727273,.12727273,.87272727
2014,0,Southwest,Nobles County,84.70562,12.844568,.06122449,.83673471,.10204082,.10204082,.89795917
2014,0,Arrowhead,Lake County,102.7065,9.9740744,0,.8888889,.11111111,.11111111,.8888889
2014,0,Southeast,Freeborn County,103.6352,12.742349,.03846154,.92307693,.03846154,.051282052,.94871795
2014,0,Southcentral,Brown County,97.754929,12.888683,.036363635,.89999998,.063636363,.090909094,.90909094
2014,0,UpperMNvalley,Yellow Medicine County,95.387962,10.318386,.043478262,.9130435,.043478262,.065217391,.93478262
2014,0,Westcentral,Douglas County,102.99573,12.363445,.025316456,.93037975,.044303797,.056962024,.94303799
2014,0,UpperMNvalley,Chippewa County,91.233749,12.397823,.023809524,.90476191,.071428575,.14285715,.85714287
2014,0,Westcentral,Pope County,100.47729,11.26364,.027777778,.91666669,.055555556,.055555556,.94444442
2014,0,EastCentral,Mille Lacs County,106.2131,15.975397,.068965517,.84482759,.086206898,.12068965,.87931037
2014,0,NorthCentral,Wadena County,90.111313,10.716881,.022222223,.84444445,.13333334,.17777778,.82222223
2014,0,Westcentral,Traverse County,74.573212,11.577084,0,.75,.25,.25,.75
2014,0,Northwest,Polk County,100.16441,13.318355,.051282052,.87179488,.07692308,.11111111,.8888889
2014,0,Central,Benton County,113.87146,11.423395,.023529412,.9588235,.01764706,.01764706,.98235291
2014,0,Westcentral,Wilkin County,91.652802,9.8641024,0,.92307693,.07692308,.07692308,.92307693
2014,0,Northwest,Roseau County,89.04982,10.120335,.013333334,.9066667,.079999998,.093333334,.9066667
2014,0,Southcentral,Sibley County,96.591705,10.574011,0,.86440676,.13559322,.13559322,.86440676
2014,0,Southeast,Houston County,101.89063,10.454458,.025974026,.92207789,.051948052,.051948052,.94805193
2014,0,EastCentral,Pine County,106.74921,11.217064,.016666668,.88333333,.1,.2,.80000001
2014,0,Southern,Winona County,108.887,12.820573,.054054055,.9054054,.040540539,.054054055,.94594592
2014,0,Westcentral,Otter Tail County,98.805374,11.01044,.017857144,.89880955,.083333336,.089285716,.91071427
2014,0,Southeast,Dodge County,119.142,11.702326,.011627907,.94186044,.046511628,.046511628,.95348835
2014,0,Northwest,Kittson County,84.435394,9.5148144,0,.83333331,.16666667,.16666667,.83333331
2014,0,EastCentral,Kanabec County,98.508034,23.189096,.029411765,.88235295,.088235296,.088235296,.91176468
2014,0,Southwestcentral,Meeker County,91.432091,13.835142,.039215688,.82352942,.13725491,.15686275,.84313726
2014,0,Arrowhead,Itasca County,95.154121,15.825141,.05319149,.77659577,.17021276,.27659574,.72340423
2014,0,Arrowhead,Aitkin County,107.36103,14.754052,.05882353,.85294116,.088235296,.14705883,.85294116
2014,0,Northwest,Pennington County,103.07986,10.731839,.028985508,.942029,.028985508,.028985508,.9710145
