year,ed_region,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
2013,Central,.5834111,.12993456,.43657511,.016901454,.5447135,.021796197,4.1982098,6.7660708,4.2152557,10.061334,4.1847615,15.694636,134.81293,188.11955,125.16608,0,135.20497,230.79153,141.80994,199.39635,132.1915,16.76889,142.17957,1.8142381
2013,Southcentral,.75711775,.15154752,.54153371,.064036548,.68851364,.0045675817,4.1668267,10.298895,4.1771941,13.350296,4.1454344,26.264479,110.09011,143.2681,110.94365,0,116.70979,136.20416,117.03482,160.43292,117.90564,22.250494,123.61884,1.4983685
2013,Arrowhead,.55245048,.13335703,.30562377,.11346967,.41784376,.021137038,5.4827204,15.944176,5.7321215,11.788927,5.5532312,21.407911,104.32812,134.71075,118.35599,0,121.56171,134.0213,113.46599,161.28438,127.90953,19.648212,130.81709,1.3107702
2013,Metro,.4986423,.27688378,.20767923,.014079258,.37452376,.11003927,4.2356849,4.6439114,4.2118821,8.3388472,4.241416,5.4647684,203.0433,247.98056,161.98422,0,193.06456,267.14389,210.10277,255.72041,169.00403,13.898079,200.13359,1.4023361
2013,EastCentral,.49437723,.14675578,.29072016,.056901272,.40055045,.036925502,5.6992183,12.054557,6.0836678,28.936359,5.7985573,14.655679,128.25813,158.3521,122.80126,0,128.26872,166.69531,137.75682,178.44302,132.9407,48.227264,137.93298,1.4141828
2013,Southeast,.66078562,.10602167,.4748975,.079866447,.58088875,.000030419811,4.7793684,12.805857,4.8796635,12.915113,4.7859907,34.621124,112.29955,155.98463,114.76673,0,119.63757,193.57912,120.26517,177.32773,122.89951,21.525188,127.61422,2.0055985
2013,Southern,.68154919,.16910289,.45381126,.058635022,.55722278,.065691344,4.1943765,6.488543,4.1655493,7.4584103,4.1627941,13.56524,135.0891,188.07333,128.47258,0,138.28241,212.6414,142.07973,198.88756,135.41516,12.430684,145.2204,1.6510313
2012,Northwest,.71484554,.078654781,.50845492,.12773584,,,6.1154861,200.53941,6.8716784,68.749969,,,88.217331,171.0106,98.106438,0,,,98.409813,505.24295,109.55923,114.58327,,
2012,Westcentral,.61611903,.088407479,.4651061,.062605478,,,5.4862337,62.098804,6.0455079,32.865326,,,101.62821,164.16896,106.22373,0,,,110.77193,267.66696,116.29958,54.775547,,
2012,UpperMNvalley,.67037225,.057674062,.53227937,.080418788,,,6.8892527,99.828339,8.2905998,28.672504,,,81.220612,125.37865,95.191559,0,,,92.702698,291.75922,109.00922,47.78751,,
2012,Southwest,.61669981,.077652462,.50369984,.035347506,,,4.7590985,69.448044,5.427927,95.274368,,,89.856308,138.47423,94.598717,0,,,97.788139,254.22098,103.64526,158.7906,,
2012,Headwaters,.52548015,.048843205,.32248884,.1541481,,,7.7463889,101.03001,42.72319,49.351883,,,80.755875,149.00409,107.72462,0,,,93.666527,317.38745,178.92993,82.253136,,
2012,Southwestcentral,.57894295,.081863202,.43061402,.066465721,,,4.5319519,34.107674,4.5793471,17.92712,,,102.04895,173.94051,104.39818,0,,,109.6022,230.78662,112.03042,29.878534,,
2012,NorthCentral,.47141919,.057963416,.31958675,.093869023,,,6.5825987,75.277657,10.837245,34.793808,,,91.89695,170.35938,106.47848,0,,,102.86794,295.82214,124.54056,57.989681,,
2012,Central,.55350858,.12003157,.41963437,.013842657,,,4.2125044,9.4603596,4.2317166,18.042492,,,132.18314,189.40466,122.30096,0,,,139.20398,205.17192,129.35382,30.070822,,
2012,Southcentral,.76376534,.15707265,.53313929,.073553398,,,4.130302,18.604094,4.4032254,44.694885,,,104.78564,144.81752,106.70521,0,,,111.66947,175.82434,114.04391,74.49147,,
2012,Arrowhead,.49624276,.12437754,.26794559,.10391964,,,5.455894,56.000973,8.2981396,29.865271,,,101.00017,148.98526,115.16075,0,,,110.09332,242.32021,128.99098,49.775452,,
2012,Metro,.48531702,.25363493,.21535224,.016329851,,,4.2533703,4.7857194,4.2239776,10.672487,,,195.34131,243.16045,158.03416,0,,,202.43025,251.13664,165.07413,17.787479,,
2012,EastCentral,.44635063,.14019528,.26682538,.039329968,,,5.7059464,19.822567,6.7239556,60.147312,,,125.65208,171.43517,119.31233,0,,,135.16199,204.47278,130.51892,100.24552,,
2012,Southeast,.66488177,.10413628,.45510975,.10563575,,,4.723012,26.185654,5.4503689,31.552553,,,108.41595,165.41534,111.85891,0,,,116.28764,209.05809,120.94286,52.587589,,
2012,Southern,.67754656,.1736816,.44344521,.060419764,,,4.2073932,11.103775,4.1877103,14.5825,,,131.66016,188.26163,125.04107,0,,,138.67249,206.76791,132.02058,24.304167,,
2016,Northwest,.7227965,.10182101,.47494397,.14603151,.52418047,.068117976,6.5755134,142.89656,10.051068,23.358437,9.6103315,122.17661,100.733,182.9071,107.44511,0,114.22,173.48587,111.69219,421.06802,124.19689,38.930729,130.23721,3.4293392
2016,Westcentral,.59424675,.093578942,.41445199,.086215794,.461721,.058058076,5.7999134,19.072659,8.1245527,14.293346,8.3072453,10.372003,108.53709,162.54945,117.41736,0,123.81923,149.3797,118.20361,194.33722,130.95828,23.822245,137.66463,1.2385575
2016,UpperMNvalley,.66727334,.066153213,.46775094,.13336915,.49689773,.057892267,7.3157072,50.242916,11.426244,13.606304,10.608266,24.636051,83.453667,109.71531,110.2506,0,110.01682,108.41039,95.646515,193.45351,129.29433,22.677174,127.69726,1.2617186
2016,Southwest,.64533466,.072888747,.45135272,.12109321,.49629283,.036410369,4.8659549,58.969383,5.3421669,12.036924,6.7430372,45.403927,98.124474,161.95477,109.10288,0,114.3477,161.21219,106.2344,260.23706,118.00649,20.061541,125.5861,2.2788961
2016,Headwaters,.4914504,.040367305,.33675826,.11432485,.31844223,.078550532,7.017067,31.924944,20.674429,30.897814,14.841949,16.090378,85.425995,131.81619,109.32048,0,114.1931,114.82867,97.121101,185.02444,143.77786,51.496357,138.92967,1.0795159
2016,Southwestcentral,.56280351,.11911455,.36120248,.082486503,.4178054,.070196643,4.6409793,16.558012,5.3508801,6.3961439,5.2535596,12.442126,105.86623,165.01624,115.23624,0,122.48349,142.12672,113.60119,192.61293,124.15437,10.66024,131.23943,1.3155276
2016,NorthCentral,.48696169,.080300272,.30360791,.1030535,.32881865,.071619995,6.5171371,26.18582,10.596815,20.711933,9.0281944,13.429033,103.23314,151.38118,118.09151,0,122.42693,135.78275,114.09504,195.02422,135.75287,34.51989,137.47392,1.2083316
2016,Central,.54071265,.15214002,.34927154,.039301075,.43928739,.069167525,4.2626348,7.1183558,4.280479,7.6549559,4.2506232,7.6132212,144.66238,208.03267,136.06055,0,148.73976,190.35139,151.76677,219.89659,143.19469,12.75826,155.82414,1.295015
2016,Southcentral,.71762669,.17442548,.42513645,.11806476,.56035066,.042727571,4.1402292,10.676259,4.2482567,7.0940323,4.1999612,14.526146,114.67101,169.6459,121.77939,0,132.15448,152.22926,121.57139,187.43967,128.85982,11.823387,139.15442,1.2981803
2016,Arrowhead,.50371999,.14801584,.24169166,.11401246,.30652183,.093416817,5.4492292,20.653542,9.9287186,10.759231,7.8175998,14.242114,111.92969,156.98523,124.91424,0,133.47356,156.26031,121.01173,191.40779,141.46211,17.932051,146.5029,1.2695469
2016,Metro,.51860923,.31794,.16105661,.039612651,.32690805,.15211841,4.2674947,4.581347,4.262342,4.919313,4.289607,4.8570232,214.99953,270.06555,170.30717,0,212.10361,277.69351,222.11203,277.70114,177.41109,8.1988544,219.25294,1.3164439
2016,EastCentral,.46576497,.15087259,.23372035,.081172042,.32512754,.064455234,5.8378725,12.023216,6.9127278,14.808418,6.5914125,11.289677,129.19237,181.86998,132.97035,0,141.08939,170.42761,138.92215,201.90868,144.49156,24.680696,152.07507,1.3341662
2016,Southeast,.57536876,.12165202,.3844769,.069239818,.4595606,.069852494,5.242022,11.889313,5.9417138,15.110866,5.2846622,11.386398,118.96709,162.29718,124.35982,0,130.12782,163.30165,127.7038,182.1127,134.26268,25.184776,138.93559,1.4252018
2016,Southern,.6292612,.19234638,.35970506,.077209726,.44241098,.11390308,4.2301021,7.5077209,4.2124467,6.416101,4.258853,6.8856468,142.74356,215.9593,127.92201,0,144.36717,211.9993,149.79373,228.47217,134.94275,10.693501,151.46526,1.5192262
2017,Northwest,.70679051,.11559924,.4319112,.15928005,.48796198,.1031017,6.4615555,194.50883,6.4180121,31.053114,10.039417,13.343827,96.164215,183.92961,107.37664,0,112.67936,122.43955,106.93347,508.11099,118.07333,51.755192,129.41173,1.1758932
2017,Westcentral,.59233665,.10539363,.38163453,.10530847,.40898204,.11042112,5.5683675,61.266205,5.4564395,24.412703,12.831922,12.43505,105.70308,195.87555,116.22273,0,128.03142,144.95679,114.9837,297.98587,125.3168,40.687836,149.41795,1.2437557
2017,UpperMNvalley,.58584362,.066806503,.40600967,.11302743,.4568558,.04143421,7.0667992,95.520699,7.0191069,50.286617,9.845541,36.024338,84.844894,144.47188,102.44886,0,103.05428,129.67732,96.622887,303.67303,114.14737,83.811028,119.46352,1.6868762
2017,Southwest,.61802298,.073082529,.4065412,.13839926,.43622786,.056838106,4.76963,76.715538,4.7991095,20.528749,6.2024651,18.149078,83.189865,148.22929,104.10579,0,107.47618,106.90821,91.139244,276.08853,112.1043,34.214584,117.81362,1.1917536
2017,Headwaters,.48835087,.04580833,.31587005,.12667249,.30897737,.073916443,6.5199962,126.0705,6.600122,43.814762,8.2243767,61.990868,84.948776,179.89493,112.79336,0,115.8917,138.83276,95.815437,390.01245,123.79356,73.024605,129.599,1.7494864
