cty_gisjoin,county,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
G2700210,Cass County,.5003221,.046028387,.30138159,.1529121,.31254673,.034863263,8.4238129,24.558258,10.184133,14.014971,10.414541,20.906765,86.758011,151.05042,113.5368,0,115.14557,139.75714,100.7977,191.98085,130.51036,23.358286,132.50314,1.335749
G2701030,Nicollet County,.71668625,.31338406,.35354826,.049753949,.61369801,.053234313,4.3044705,5.4596276,4.4105091,5.3845172,4.2552447,5.9240956,127.95098,164.26677,118.95718,0,138.34074,122.22248,135.12511,173.36615,126.30803,8.9741955,145.43282,.92186332
G2700970,Morrison County,.57525009,.053163283,.44877967,.073307127,.40627173,.095671229,5.6498857,18.365822,5.7417116,10.614231,5.7855039,15.096579,95.168945,143.05774,105.48579,0,105.15743,130.60724,104.58543,173.66745,115.05531,17.690386,114.79993,1.369472
G2701430,Sibley County,.65474117,.00083606562,.53072912,.12317601,.53141057,.00015458146,4.0831766,28.52474,4.1596117,4.9656405,4.1598802,29.544678,86.406113,174.01384,111.92902,0,111.9595,165.26764,93.211403,221.55507,118.86171,8.2760677,118.89263,1.8302596
G2700850,McLeod County,.74728256,.17646548,.48089108,.089926004,.60816443,.049192134,3.7520003,8.8370457,3.9034824,6.0018144,3.7641149,9.3842964,115.69109,184.95131,114.14715,0,126.86205,136.10173,121.94443,199.67972,120.65295,10.003024,133.13557,1.1890291
G2700610,Beltrami County,.55329394,.068428077,.33995843,.14490744,.40508807,.0032984321,6.7791662,18.796247,9.2038345,9.9535427,9.0163031,26.931606,82.089081,146.89226,108.74005,0,113.09195,113.67664,93.387688,178.21933,124.07977,16.589237,128.11913,1.2729149
G2700130,Blue Earth County,.8857525,.28196073,.41988471,.18390708,.66879213,.033053316,3.8534617,5.9896502,3.8715248,5.8826256,3.8664455,8.483427,110.19905,155.43848,119.04589,0,133.82356,117.91605,116.62149,165.42123,125.49844,9.8043766,140.26764,.96894282
G2700350,Crow Wing County,.56396157,.17795108,.31418705,.07182344,.44787991,.044258222,5.7173934,9.810955,5.9983993,9.4526587,5.6452403,12.941281,115.81369,151.41411,119.69241,0,128.05583,134.92679,125.34267,167.7657,129.68973,15.754431,137.46455,1.1561023
G2700710,Koochiching County,.54737866,.034147069,.32536805,.18786351,.35951513,0,5.6100621,107.29885,6.3457193,6.1005168,5.5683608,123.23959,81.019928,119.72951,107.56665,0,107.65846,86.803276,90.370026,298.56091,118.14285,10.167528,116.93907,2.524528
G2700090,Benton County,.64282387,.13517666,.46685481,.040792417,.54826063,.053770822,4.3045812,7.3590617,4.3007417,7.8040662,4.2773662,8.8618011,120.89871,187.12352,114.07664,0,123.60183,184.79468,128.07301,199.38863,121.24454,13.006777,130.73077,1.5264118
G2701710,Wright County,.47223222,.10611855,.32253817,.043575507,.39516243,.033494264,4.0981669,6.7334914,4.0077677,6.9186831,4.0466199,12.828429,142.36426,227.94691,138.32695,0,145.82262,221.80385,149.19455,239.16939,145.00656,11.531138,152.56699,1.6065192
G2700430,Faribault County,.72302127,.18590179,.44136688,.095752552,.49344003,.13382867,7.0699883,12.49239,6.9868989,11.460398,7.0236974,19.61517,92.679443,118.39004,99.998894,0,98.90451,139.69102,104.46276,139.21069,111.64372,19.100662,110.61067,1.6001143
G2701410,Sherburne County,.52267367,.16101462,.33761624,.024042841,.47535238,.023278467,4.2576199,6.7288871,4.3753362,7.1174192,4.2794867,10.792747,139.52832,198.66829,131.02129,0,144.19109,212.6053,146.62434,209.8831,138.31351,11.862366,151.32356,1.5312185
G2700790,Le Sueur County,.72175974,.074779831,.53991914,.10706075,.53826314,.076435819,3.8473523,13.837517,3.8583193,5.3497877,3.8931396,8.7184839,115.07035,195.14291,125.52775,0,127.79306,156.98544,121.4826,218.20544,131.95828,8.9163122,134.28162,1.2879627
G2700190,Carver County,.55150956,.32738537,.20318688,.020937305,.39265642,.1379158,3.8878496,5.7271152,3.868798,5.8989949,3.8476651,7.6725926,196.04683,238.27634,163.44414,0,188.43045,257.39008,202.52658,247.82153,169.89214,9.8316584,194.84323,1.3994526
G2700950,Mille Lacs County,.52730411,.24073863,.24172597,.044839498,.44102418,.041440412,5.1215606,10.769314,6.0384007,9.3242941,5.1649947,15.982686,113.70655,138.591,118.79597,0,119.68419,143.30818,122.24249,156.53986,128.85997,15.54049,128.29251,1.4080776
G2701390,Scott County,.52692491,.17476751,.33695665,.015200783,.44246292,.069261223,4.116003,4.9992142,4.0796647,6.3374782,4.1102161,5.6322508,189.90596,258.12665,161.8792,0,183.6451,264.21716,196.76598,266.45868,168.67865,10.562464,190.49547,1.4482942
G2700010,Aitkin County,.68118143,.0036498054,.51705414,.16047749,.4983016,.02240237,6.3982759,36.485062,6.784265,9.3001156,6.7641487,26.216827,94.570053,126.61069,113.65366,0,115.70961,104.67036,105.23385,187.41913,124.96077,15.500192,126.98319,1.1715387
G2700530,Carver County,.55150956,.32738537,.20318688,.020937305,.39265642,.1379158,3.8878496,5.7271152,3.868798,5.8989949,3.8476651,7.6725926,196.04683,238.27634,163.44414,0,188.43045,257.39008,202.52658,247.82153,169.89214,9.8316584,194.84323,1.3994526
G2701610,Waseca County,.53454578,.078287005,.40210462,.054154154,.48039162,3.1665101e-16,3.4776306,7.8620324,3.5641255,6.4285622,3.509995,21.277414,99.522186,130.505,107.73702,0,109.24967,186.32539,105.31824,143.60838,113.67723,10.714271,115.09967,1.9371649
